title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,Bucket,log_sales,critic_clean,critic_missing,year,d_action,d_sports,d_misc,d_adventure,d_shooter,d_racing,d_simulation,d_platform,d_fighting,d_strategy,d_puzzle,d_actionadventure,d_visualnovel,d_music,d_other,d_sega,d_nintendohandheld,d_nintendohome,d_pcmac,d_mshome,d_sonyhandheld,year_c,critic_c
Silent Bomber,PS,Action,Bandai,CyberConnect2,,0.02,0.01,,0.01,0,Sony Home,-3.912023,7.3,1,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0
Jojo's Bizarre Adventure,PS,Fighting,Capcom,Capcom,,0.02,0.01,,0.01,0,Sony Home,-3.912023,7.3,1,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-10,0
Iron Soldier 3,PS,Simulation,Vatical Entertainment,Eclipse Software,,0.02,0.01,,0.01,0,Sony Home,-3.912023,7.3,1,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0
Hogs of War,PS,Role-Playing,Infogrames,Infogrammes Studios,,0.02,0.01,,0.01,0,Sony Home,-3.912023,7.3,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0
Rat Attack!,N64,Puzzle,Mindscape,Pure Entertainment,,0.02,0.02,,,0,Nintendo Home,-3.912023,7.3,1,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-10,0
RayCrisis: Series Termination,PS,Shooter,Working Designs,Taito Corporation,,0.02,0.01,,0.01,0,Sony Home,-3.912023,7.3,1,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0
Sheep,PS,Strategy,Empire Interactive,Minds-Eye,,0.02,0.01,,0.01,0,Sony Home,-3.912023,7.3,1,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-10,0
Renegade Racers,PS,Racing,Interplay,Interplay,,0.03,0.01,,0.01,0,Sony Home,-3.506558,7.3,1,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0
Roadsters,PS,Racing,Titus,Titus Software,4.5,0.03,0.02,,0.01,0,Sony Home,-3.506558,4.5,0,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-2.8
Big Mountain 2000,N64,Sports,SouthPeak Interactive,Imagineer,,0.03,0.02,,0.01,0,Nintendo Home,-3.506558,7.3,1,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-10,0
Monster Rancher Hop-A-Bout,PS,Action,Tecmo,Tecmo,,0.03,0.02,,0.01,0,Sony Home,-3.506558,7.3,1,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0
F1 Championship Season 2000,PS2,Racing,EA Sports,Visual Science,,0.03,,0.03,,,Sony Home,-3.506558,7.3,1,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0
NHL Blades of Steel 2000,PS,Sports,Konami,Konami,,0.04,0.02,,0.01,0,Sony Home,-3.218876,7.3,1,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0
NBA in the Zone 2000,N64,Sports,Konami,KCEO,,0.04,0.04,,,0,Nintendo Home,-3.218876,7.3,1,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-10,0
Deception III: Dark Delusion,PS,Role-Playing,Tecmo,Tecmo,,0.04,0.02,,0.01,0,Sony Home,-3.218876,7.3,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0
I.Q. Remix+: Intelligent Qube,PS2,Puzzle,Sony Computer Entertainment,SCEA,,0.04,,0.04,,,Sony Home,-3.218876,7.3,1,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-10,0
Rhapsody: A Musical Adventure,PS,Role-Playing,Atlus,Nippon Ichi Software,6.7,0.04,0.02,,0.01,0,Sony Home,-3.218876,6.7,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-0.6
Worms Armageddon,N64,Strategy,Infogrames,Team17 Software,,0.04,0.03,,0.01,0,Nintendo Home,-3.218876,7.3,1,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-10,0
Mr. Driller,PS,Puzzle,Namco,Namco,,0.04,0.02,,0.01,0,Sony Home,-3.218876,7.3,1,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-10,0
