variable,OVR,NA,JP,PAL,OTHER
critic_c,0.1115 (11.8%),0.0784 (8.16%),0.0127 (1.28%),0.0579 (5.96%),0.0259 (2.62%)
critic_missing,-0.2647 (-23.25%),-0.1549 (-14.35%),-0.0178 (-1.76%),-0.1165 (-11.0%),-0.0537 (-5.23%)
d_action,0.0663 (6.86%),0.0633 (6.53%),-0.0207 (-2.05%),0.0625 (6.45%),0.0266 (2.7%)
d_actionadventure,0.115 (12.18%),0.066 (6.82%),-0.0315 (-3.1%),0.0879 (9.19%),0.0298 (3.02%)
d_adventure,-0.0034 (-0.34%),0.0343 (3.49%),-0.0566 (-5.5%),0.0447 (4.57%),0.0202 (2.04%)
d_fighting,0.0402 (4.11%),0.0561 (5.77%),-0.0282 (-2.78%),0.0324 (3.3%),0.0171 (1.73%)
d_misc,0.0625 (6.45%),0.0772 (8.03%),-0.0278 (-2.74%),0.0674 (6.97%),0.0325 (3.31%)
d_mshome,-0.0432 (-4.23%),0.0089 (0.89%),-0.0713 (-6.88%),-0.0703 (-6.79%),-0.048 (-4.69%)
d_music,0.0863 (9.01%),0.0742 (7.7%),0.0244 (2.47%),0.0542 (5.57%),0.0165 (1.66%)
d_nintendohandheld,-0.1311 (-12.29%),-0.0612 (-5.94%),0.0023 (0.23%),-0.1022 (-9.71%),-0.0599 (-5.82%)
d_nintendohome,-0.1108 (-10.48%),-0.0435 (-4.26%),-0.0242 (-2.39%),-0.1019 (-9.69%),-0.0587 (-5.7%)
d_other,0.0565 (5.82%),0.0323 (3.28%),0.029 (2.94%),0.0468 (4.79%),0.0091 (0.91%)
d_pcmac,-0.2373 (-21.12%),-0.1573 (-14.55%),,-0.1215 (-11.44%),-0.0725 (-6.99%)
d_platform,0.0556 (5.72%),0.0385 (3.93%),-0.0336 (-3.31%),0.0564 (5.8%),0.0206 (2.08%)
d_puzzle,-0.0015 (-0.15%),0.005 (0.5%),-0.034 (-3.34%),0.0273 (2.77%),0.0149 (1.5%)
d_racing,0.044 (4.5%),0.0244 (2.47%),-0.0679 (-6.57%),0.0624 (6.44%),0.0212 (2.14%)
d_sega,-0.3082 (-26.52%),,-0.0041 (-0.4%),,
d_shooter,0.14 (15.03%),0.1112 (11.76%),-0.0371 (-3.65%),0.1096 (11.59%),0.0467 (4.78%)
d_simulation,0.0736 (7.63%),0.0776 (8.07%),-0.0342 (-3.37%),0.0754 (7.83%),0.0276 (2.8%)
d_sonyhandheld,-0.1596 (-14.75%),-0.1039 (-9.87%),-0.0178 (-1.77%),-0.1014 (-9.64%),-0.0357 (-3.51%)
d_sports,0.0966 (10.15%),0.0807 (8.4%),-0.0014 (-0.14%),0.0711 (7.37%),0.0333 (3.39%)
d_strategy,-0.0302 (-2.97%),-0.0274 (-2.71%),-0.0093 (-0.93%),0.0106 (1.07%),0.0049 (0.49%)
d_visualnovel,-0.0626 (-6.07%),,-0.049 (-4.78%),,
year_c,-0.0012 (-0.12%),-0.0013 (-0.13%),-0.0044 (-0.44%),0.0055 (0.56%),0.0018 (0.18%)
