variable,OVR,NA,JP,PAL,OTHER
critic_c,0.0,0.0,0.0,0.0,0.0
critic_missing,0.0,0.0,0.0,0.0,0.0
d_action,0.0,0.0,0.0,0.0,0.0
d_actionadventure,0.0,0.0004,0.0,0.0,0.0001
d_adventure,0.6857,0.0003,0.0,0.0,0.0
d_fighting,0.0009,0.0,0.0,0.0003,0.0
d_misc,0.0,0.0,0.0,0.0,0.0
d_mshome,0.0,0.1856,0.0,0.0,0.0
d_music,0.0006,0.0034,0.1403,0.0188,0.02
d_nintendohandheld,0.0,0.0,0.5416,0.0,0.0
d_nintendohome,0.0,0.0,0.0,0.0,0.0
d_other,0.0665,0.1541,0.2172,0.0464,0.2203
d_pcmac,0.0,0.0,,0.0,0.0
d_platform,0.0,0.0001,0.0002,0.0,0.0
d_puzzle,0.885,0.6228,0.0001,0.0015,0.0
d_racing,0.0,0.0106,0.0,0.0,0.0
d_sega,0.0,,0.8065,,
d_shooter,0.0,0.0,0.0,0.0,0.0
d_simulation,0.0,0.0,0.0,0.0,0.0
d_sonyhandheld,0.0,0.0,0.0,0.0,0.0
d_sports,0.0,0.0,0.8428,0.0,0.0
d_strategy,0.0025,0.0095,0.2645,0.2054,0.1088
d_visualnovel,0.0,,0.0,,
year_c,0.0286,0.0047,0.0,0.0,0.0
