variable,coef,std_err,t,p,pct_effect
const,0.2777986468582379,0.009045722481464413,30.710498517666778,4.121846448096214e-207,32.02203399311312
critic_c,0.07839545140456043,0.0038550480234383028,20.33579113098566,6.203109040878432e-92,8.155027468906129
critic_missing,-0.1548845476955757,0.005913038048582205,-26.19373432455978,3.1321707881327396e-151,-14.348594170270301
year_c,-0.0013159907535424435,0.00046548540562021197,-2.8271364422027787,0.004696631178074946,-0.13151252174316008
d_action,0.0632990336894094,0.00923940306674109,6.850987367059,7.334199362201158e-12,6.534536575906857
d_sports,0.08066712117979756,0.009466039941280693,8.521738940484951,1.5717535219638224e-17,8.40099925340363
d_misc,0.07723327199807399,0.009720868605305385,7.94509988088124,1.9403437726140665e-15,8.029404935373986
d_adventure,0.034304755716108914,0.009595090718052772,3.5752403728258573,0.00034990626254347457,3.4899950349761566
d_shooter,0.11118273673865953,0.012613509170090404,8.814576121472996,1.2013872648153362e-18,11.759911461309326
d_racing,0.024431246125572067,0.009557662671892266,2.5561946434268816,0.010582390556069165,2.473213438065036
d_simulation,0.07756457838091581,0.011078696638486941,7.001236780097365,2.5371273399311943e-12,8.06520169628393
d_platform,0.038512344933993206,0.010020906825770398,3.843199582991075,0.00012144063037534825,3.926355791881786
d_fighting,0.056082397098698236,0.011773429409357435,4.7634716401428765,1.9029036549668332e-06,5.768483030760407
d_strategy,-0.02742887116376902,0.010575917232385447,-2.5935217306520384,0.009499853553076362,-2.705611554148113
d_puzzle,0.005010339418654501,0.0101869734449156,0.49183787959663344,0.6228339559200247,0.5022912158327175
d_actionadventure,0.06597891720411807,0.018684594946213585,3.5311933383650165,0.00041368924712947207,6.820419619756302
d_music,0.07422412464631249,0.025345580776524598,2.92848387656833,0.0034061949830781766,7.704817148767207
d_other,0.03231082833638427,0.022672446778128234,1.4251143095660075,0.15412416090552428,3.2838490886702987
d_nintendohandheld,-0.06124395690136044,0.0051869599962778385,-11.807293085990462,3.578989638699906e-32,-5.940625255203713
d_nintendohome,-0.0435226201930169,0.006012887130669324,-7.23822337709043,4.5460027574441187e-13,-4.25891029732629
d_pcmac,-0.1572942281385584,0.011973505389764175,-13.136857003716303,2.0246293283198394e-39,-14.554738217423768
d_mshome,0.008906718157930458,0.006728659038823263,1.3236988390316926,0.18560308419346383,0.894650099589378
d_sonyhandheld,-0.10393327560871346,0.00650955666450826,-15.966260217901446,2.1956178447410115e-57,-9.87145668631756
