variable,VIF
d_action,1.721465462908098
d_adventure,1.7051417229011894
d_misc,1.5157028820366796
d_sports,1.5123004065473051
d_shooter,1.4508221303887527
d_sonyhandheld,1.4466517711881524
d_nintendohandheld,1.3873147806076427
d_fighting,1.3523908981007997
d_simulation,1.2700613370821445
d_mshome,1.242599055746071
d_visualnovel,1.2405925453372542
critic_missing,1.237324375322254
d_racing,1.2309714329538597
d_strategy,1.2093557806989192
year_c,1.1819923361921136
d_platform,1.1617862952117994
d_nintendohome,1.1470251461148715
d_puzzle,1.1311179517033954
d_actionadventure,1.11950550531367
d_music,1.059897376321404
critic_c,1.0451625410780827
d_sega,1.0405960209963023
d_other,1.0342317492112192
