variable,VIF
d_action,3.0392951527963694
d_sports,2.9426674106809125
d_misc,2.36183202864771
d_shooter,2.274307205950349
d_racing,2.2653693777544026
d_adventure,1.936570498738759
d_platform,1.888890858675985
d_simulation,1.8266000503125146
d_fighting,1.6037602328656446
d_puzzle,1.564496701999021
d_nintendohandheld,1.4620376998202036
d_strategy,1.413528078232438
d_mshome,1.351493060329748
d_nintendohome,1.313985741028294
d_actionadventure,1.2935705595061426
d_sonyhandheld,1.1699358813547023
d_music,1.135662636649322
d_pcmac,1.1156246645460077
year_c,1.1083495931268668
critic_missing,1.0809622806332702
d_other,1.0681181360014558
critic_c,1.0435394577651362
