variable,VIF
d_action,2.9503244324012443
d_sports,2.9089941523284497
d_misc,2.3629125314197097
d_racing,2.22856908792651
d_shooter,2.2144910279675343
d_adventure,1.9705272602607005
d_simulation,1.8556145280164333
d_platform,1.8357308759944264
d_puzzle,1.5856297583371084
d_fighting,1.5757351809000295
d_strategy,1.5344959922176822
d_nintendohandheld,1.4865929769276438
d_mshome,1.3618020051307875
d_nintendohome,1.3236098621794512
d_actionadventure,1.2928957190569992
d_pcmac,1.2468225382768319
d_sonyhandheld,1.1716845429613556
d_music,1.1359332607762063
year_c,1.1063651392395413
critic_missing,1.077309539792466
d_other,1.0665613437073733
critic_c,1.0385585003751516
