variable,VIF
d_action,3.1981979953583575
d_sports,2.985364100793512
d_shooter,2.3714804893977246
d_misc,2.3495276206838995
d_racing,2.3479551210403757
d_adventure,2.026124610876034
d_platform,1.9478067248618367
d_simulation,1.8366523078657806
d_fighting,1.6559710993955419
d_puzzle,1.5785839776136765
d_strategy,1.5621638623569014
d_nintendohandheld,1.439050386833233
d_mshome,1.3446414843481391
d_actionadventure,1.3339233275088698
d_nintendohome,1.2992628953598486
d_pcmac,1.2923187547410018
d_sonyhandheld,1.1564692235021077
d_music,1.1403000439714592
year_c,1.1252833516717358
critic_missing,1.0704599238322454
d_other,1.0631906292373474
critic_c,1.038617012467063
