variable,VIF
d_action,2.5223183281683594
d_sports,2.4279808390505586
d_misc,2.1530289433458525
d_adventure,2.042574387502571
d_shooter,1.8689877047479708
d_racing,1.8414979239591607
d_simulation,1.6749168721208858
d_platform,1.573631464762943
d_fighting,1.4862715297799878
d_nintendohandheld,1.4819546590759478
d_strategy,1.450124423480659
d_puzzle,1.4175720167731667
d_sonyhandheld,1.3435206046210637
d_mshome,1.3310046354279401
d_nintendohome,1.2902379881377926
d_actionadventure,1.2095895617344736
d_pcmac,1.2004313846037815
d_visualnovel,1.1816957637593322
year_c,1.151637372991365
d_music,1.1155909631735172
critic_missing,1.0822050973471322
d_other,1.0539829652725585
critic_c,1.0370500509832479
d_sega,1.015479467957484
